clan_tag,clan_name,player_name,player_tag,player_participation_ratio,player_contribution_count,player_participating_count,player_total_fame,player_total_repair_points,player_total_contribution,player_total_decks_used,player_is_current_member,s_110-4_fame,s_110-4_repair_points,s_110-4_contribution,s_110-4_decks_used,s_110-3_fame,s_110-3_repair_points,s_110-3_contribution,s_110-3_decks_used,s_110-2_fame,s_110-2_repair_points,s_110-2_contribution,s_110-2_decks_used,s_110-1_fame,s_110-1_repair_points,s_110-1_contribution,s_110-1_decks_used,s_109-4_fame,s_109-4_repair_points,s_109-4_contribution,s_109-4_decks_used,s_109-3_fame,s_109-3_repair_points,s_109-3_contribution,s_109-3_decks_used,s_109-2_fame,s_109-2_repair_points,s_109-2_contribution,s_109-2_decks_used,s_109-1_fame,s_109-1_repair_points,s_109-1_contribution,s_109-1_decks_used,s_108-4_fame,s_108-4_repair_points,s_108-4_contribution,s_108-4_decks_used,s_108-3_fame,s_108-3_repair_points,s_108-3_contribution,s_108-3_decks_used
LQQR9GQR,GUERREROS MAYAS,Miria,CJCJJPCCC,1.0,10,10,29950,0,29950,160,True,2200,0,2200,16,3300,0,3300,16,2700,0,2700,16,2950,0,2950,16,3000,0,3000,16,3300,0,3300,16,2900,0,2900,16,3400,0,3400,16,3100,0,3100,16,3100,0,3100,16
LQQR9GQR,GUERREROS MAYAS,Ollervides,VQQ98R9QC,1.0,10,10,29900,0,29900,160,True,3400,0,3400,16,3050,0,3050,16,3400,0,3400,16,2900,0,2900,16,3050,0,3050,16,2950,0,2950,16,2700,0,2700,16,2950,0,2950,16,3300,0,3300,16,2200,0,2200,16
LQQR9GQR,GUERREROS MAYAS,HANNIBAL,CVLRPRPRL,1.0,10,10,28850,0,28850,160,True,2650,0,2650,16,2850,0,2850,16,2650,0,2650,16,2750,0,2750,16,2850,0,2850,16,3100,0,3100,16,2650,0,2650,16,3200,0,3200,16,3000,0,3000,16,3150,0,3150,16
LQQR9GQR,GUERREROS MAYAS,☠️⚔️BULUC⚔️☠️,ULQCCVUJG,1.0,10,10,28300,0,28300,160,True,2750,0,2750,16,3000,0,3000,16,2950,0,2950,16,2750,0,2750,16,2800,0,2800,16,2700,0,2700,16,3100,0,3100,16,2350,0,2350,16,2850,0,2850,16,3050,0,3050,16
LQQR9GQR,GUERREROS MAYAS,gibboonjr,V8VGQPVUJ,1.0,10,10,27850,0,27850,148,True,2850,0,2850,16,3100,0,3100,16,1900,0,1900,12,3050,0,3050,16,3150,0,3150,16,3300,0,3300,16,2400,0,2400,12,2300,0,2300,12,2750,0,2750,16,3050,0,3050,16
LQQR9GQR,GUERREROS MAYAS,gibbon67,U8JUQLYJV,1.0,10,10,27625,0,27625,154,True,2875,0,2875,16,2550,0,2550,15,2250,0,2250,12,2750,0,2750,15,3200,0,3200,16,2950,0,2950,16,2700,0,2700,16,2550,0,2550,16,2800,0,2800,16,3000,0,3000,16
LQQR9GQR,GUERREROS MAYAS,✨KratosRapper✨,LQ0VLVVCY,1.0,10,10,27500,0,27500,160,True,3000,0,3000,16,2800,0,2800,16,2300,0,2300,16,2950,0,2950,16,2650,0,2650,16,3000,0,3000,16,2500,0,2500,16,2600,0,2600,16,3200,0,3200,16,2500,0,2500,16
LQQR9GQR,GUERREROS MAYAS,toro,RUURU8CV0,1.0,10,10,27000,0,27000,159,True,2300,0,2300,16,3100,0,3100,16,3000,0,3000,16,2750,0,2750,16,2900,0,2900,16,2650,0,2650,16,2350,0,2350,16,2600,0,2600,16,2700,0,2700,15,2650,0,2650,16
LQQR9GQR,GUERREROS MAYAS,☘️PaKaL☘️,V9L9Q02LU,1.0,10,10,26650,0,26650,157,True,2900,0,2900,16,2900,0,2900,16,2550,0,2550,16,3100,0,3100,16,2500,0,2500,16,3000,0,3000,16,1850,0,1850,13,2500,0,2500,16,2700,0,2700,16,2650,0,2650,16
LQQR9GQR,GUERREROS MAYAS,TABLA,C09GVGQQ0,1.0,10,10,26350,0,26350,145,True,3000,0,3000,16,2500,0,2500,16,3100,0,3100,16,2250,0,2250,12,3000,0,3000,16,2500,0,2500,14,3200,0,3200,16,1150,0,1150,7,3000,0,3000,16,2650,0,2650,16
LQQR9GQR,GUERREROS MAYAS,pipo,8PVV9R8PY,1.0,10,10,26300,0,26300,151,True,3000,0,3000,16,2450,0,2450,16,2350,0,2350,15,3000,0,3000,16,2700,0,2700,16,2300,0,2300,12,2900,0,2900,16,2000,0,2000,12,3000,0,3000,16,2600,0,2600,16
LQQR9GQR,GUERREROS MAYAS,Danibarjz,C9G2QGC80,1.0,10,10,25850,0,25850,146,True,1850,0,1850,14,3000,0,3000,16,2250,0,2250,12,2500,0,2500,16,2450,0,2450,16,2800,0,2800,16,3400,0,3400,16,2500,0,2500,12,2850,0,2850,16,2250,0,2250,12
LQQR9GQR,GUERREROS MAYAS,Ray,LP82QR8L9,1.0,10,10,25400,0,25400,147,True,2850,0,2850,16,2600,0,2600,16,2850,0,2850,16,2600,0,2600,16,2600,0,2600,16,1900,0,1900,10,2500,0,2500,16,2800,0,2800,16,2750,0,2750,14,1950,0,1950,11
LQQR9GQR,GUERREROS MAYAS,Victorkindon,2VJJQ0QRQ,1.0,10,10,25350,0,25350,148,True,2900,0,2900,16,2500,0,2500,12,2600,0,2600,16,2650,0,2650,16,2400,0,2400,16,2650,0,2650,16,2700,0,2700,16,2200,0,2200,12,2900,0,2900,16,1850,0,1850,12
